Transcripts	CT1	CT2	CT3	LT20_1	LT20_2	LT20_3	LT15_1	LT15_2	LT15_3	LT12_1	LT12_2	LT12_3	LT12_6_1	LT12_6_2	LT12_6_3
transcript_1310	6.56	6.58	8.69	8.7	6.97	8.32	9.88	9.33	6.23	8.64	10.79	8.82	11.35	11.69	11.96
transcript_1311	54.99	102.29	46.65	58.08	42.56	52.68	83.94	102.34	126.43	297.85	212.85	154.73	40.55	69.96	66.44
transcript_1312	0	0	0	194.86	0	0	0	0	0	0	0	0	0	0	0
transcript_1314	24.62	34.42	26.04	33.06	34.85	30.72	22.21	30.53	23	16.24	16.37	16.54	6.39	5.88	9.11
transcript_1315	2.44	3.01	3.03	4.54	2.35	4.25	5.29	4.69	8.44	20.7	15.12	7.73	13.07	19.12	20.65
transcript_1316	0	0	0	0	0	5.44	0	11.37	4.88	0	0	0	0	0	1.94
transcript_1317	3.87	2.72	4.87	5.6	5.18	6.5	7.65	9.14	6.58	9.77	6.84	8.07	9.74	6.48	10.25
transcript_1318	5.95	11.81	207.74	7.04	4.41	7.44	7.46	11.96	0.21	6.03	0	14.76	3.53	0	5.66
transcript_1319	24.28	23.85	26.38	24.09	14.71	14.78	14.6	16.46	19.17	21.8	9.77	16.34	5.93	8.78	16.15
transcript_132	39.92	25.08	37.92	49.9	44.71	30.11	32.93	43.9	41.42	44.83	34.33	32.06	33.75	29.54	34.33
transcript_1320	236.61	231.66	271.29	227.5	220.14	236.38	262.77	275.55	286.9	350.05	232.19	195.93	216.65	279.82	258.9
transcript_1321	32.89	30	46.88	27.94	29.02	22.9	15.88	37.19	34.82	31.09	18.76	30.96	10.89	13.19	18.06
transcript_1322	7.42	5.33	9.05	7.4	5.76	5.31	5.91	5.52	5.46	5.02	5.98	4.53	8.44	6.58	6.91
